,solar,load,price
2022-06-01 00:00:00,0.0,0.6604174957275388,0.12
2022-06-01 00:15:00,0.0,0.7820203577677407,0.12
2022-06-01 00:30:00,0.0,0.47899526087443045,0.12
2022-06-01 00:45:00,0.0,0.4680291404724121,0.12
2022-06-01 01:00:00,0.0,0.4735823885599775,0.12
2022-06-01 01:15:00,0.0,0.6069237302144369,0.12
2022-06-01 01:30:00,0.0,0.7953934644063315,0.12
2022-06-01 01:45:00,0.0,0.8167825902303059,0.12
2022-06-01 02:00:00,0.0,0.5712063547770183,0.12
2022-06-01 02:15:00,0.0,0.5924123509724935,0.12
2022-06-01 02:30:00,0.0,0.4539749622344971,0.12
2022-06-01 02:45:00,0.0,0.3945356839497885,0.12
2022-06-01 03:00:00,0.0,0.4780540644327797,0.12
2022-06-01 03:15:00,0.0,0.4595344899495443,0.12
2022-06-01 03:30:00,0.0,0.4059646581013996,0.12
2022-06-01 03:45:00,0.0,0.45472981198628754,0.12
2022-06-01 04:00:00,0.0,0.48288094202677423,0.12
2022-06-01 04:15:00,0.0,0.4769649976094564,0.12
2022-06-01 04:30:00,0.0,0.6312207679748537,0.12
2022-06-01 04:45:00,0.0,0.5255194829305012,0.12
2022-06-01 05:00:00,0.0,0.4495856075286867,0.12
2022-06-01 05:15:00,0.0,0.436265215555827,0.12
2022-06-01 05:30:00,0.0,0.3918478062947592,0.12
2022-06-01 05:45:00,0.010126666666666667,0.4579461307525633,0.12
2022-06-01 06:00:00,0.05238333333333333,0.4389658945401512,0.16
2022-06-01 06:15:00,0.12140333333333332,0.43224815829594954,0.16
2022-06-01 06:30:00,0.21879666666666664,0.6196152702967326,0.16
2022-06-01 06:45:00,0.33758666666666665,0.5661782544453937,0.16
2022-06-01 07:00:00,0.4975366666666666,0.5497579574584956,0.16
2022-06-01 07:15:00,0.6949133333333333,0.6519564921061196,0.16
2022-06-01 07:30:00,0.8947166666666666,0.8793035507202146,0.16
2022-06-01 07:45:00,1.1172233333333332,0.9481441955566406,0.16
2022-06-01 08:00:00,1.3475,0.8142054850260415,0.16
2022-06-01 08:15:00,1.5135399999999999,1.0126815287272137,0.16
2022-06-01 08:30:00,1.67573,1.4983404541015628,0.16
2022-06-01 08:45:00,1.8400666666666665,0.9725027058919271,0.16
2022-06-01 09:00:00,2.0007399999999995,0.9782481486002603,0.16
2022-06-01 09:15:00,2.1497466666666663,0.947556376139323,0.16
2022-06-01 09:30:00,2.2637766666666668,1.0220744018554686,0.16
2022-06-01 09:45:00,2.3946766666666663,1.025270446777344,0.16
2022-06-01 10:00:00,2.5237499999999997,1.093602752685547,0.16
2022-06-01 10:15:00,2.6285233333333333,1.2921841430664063,0.16
2022-06-01 10:30:00,2.711146666666666,1.1047852783203125,0.16
2022-06-01 10:45:00,2.7821266666666666,2.2781223958333325,0.16
2022-06-01 11:00:00,2.8428166666666668,2.584968770345053,0.16
2022-06-01 11:15:00,2.8754133333333334,2.3002956949869793,0.16
2022-06-01 11:30:00,2.942053333333333,2.346130493164063,0.16
2022-06-01 11:45:00,2.9950666666666668,2.129031331380208,0.16
2022-06-01 12:00:00,3.0085066666666664,2.075711079915364,0.16
2022-06-01 12:15:00,3.0017633333333333,2.141999694824219,0.16
2022-06-01 12:30:00,2.9736466666666663,1.9889039916992184,0.16
2022-06-01 12:45:00,2.981276666666666,1.9485890299479167,0.16
2022-06-01 13:00:00,2.97577,2.031045369466146,0.16
2022-06-01 13:15:00,2.959903333333333,2.029832804361979,0.16
2022-06-01 13:30:00,2.9092233333333337,1.4578970336914063,0.16
2022-06-01 13:45:00,2.876323333333333,0.9464391072591145,0.16
2022-06-01 14:00:00,2.7861399999999996,0.8705767415364584,0.16
2022-06-01 14:15:00,2.72993,0.8031926676432293,0.16
2022-06-01 14:30:00,2.6411466666666668,0.8278401285807291,0.16
2022-06-01 14:45:00,2.5718699999999997,0.8489824829101562,0.16
2022-06-01 15:00:00,2.477603333333333,1.6757503458658851,0.16
2022-06-01 15:15:00,2.3601199999999998,5.0,0.16
2022-06-01 15:30:00,2.2339566666666664,2.7113822174072277,0.16
2022-06-01 15:45:00,2.0989033333333333,2.4983298136393244,0.16
2022-06-01 16:00:00,1.8872,3.2701173706054676,0.21
2022-06-01 16:15:00,1.5095733333333332,1.0305361633300782,0.21
2022-06-01 16:30:00,1.4783533333333334,1.9231479695638019,0.21
2022-06-01 16:45:00,1.3138299999999998,1.4225865936279298,0.21
2022-06-01 17:00:00,1.11384,1.6279494145711264,0.21
2022-06-01 17:15:00,0.99155,1.2901176122029623,0.21
2022-06-01 17:30:00,0.8335599999999999,1.0703978843688964,0.21
2022-06-01 17:45:00,0.6927433333333333,0.9613159357706708,0.21
2022-06-01 18:00:00,0.54348,0.885768051147461,0.21
2022-06-01 18:15:00,0.4034333333333333,0.8170009714762367,0.21
2022-06-01 18:30:00,0.29806,0.8011948766708376,0.21
2022-06-01 18:45:00,0.19973333333333332,0.7891523675918578,0.21
2022-06-01 19:00:00,0.11344666666666665,0.7997453835805259,0.21
2022-06-01 19:15:00,0.04881333333333333,0.7253177960713703,0.21
2022-06-01 19:30:00,0.00826,0.7505227533976238,0.21
2022-06-01 19:45:00,0.00014,0.6657567036946617,0.21
2022-06-01 20:00:00,0.0,0.8686937828063965,0.21
2022-06-01 20:15:00,0.0,1.4011714134216313,0.21
2022-06-01 20:30:00,0.0,1.843770398457845,0.21
2022-06-01 20:45:00,0.0,0.7719438501993815,0.21
2022-06-01 21:00:00,0.0,0.4218607311248781,0.16
